Date BlocksByBuilder BlocksByRelays
May23 0.21 0.26
May24 0.19 0.25
May25 0.19 0.26
May26 0.21 0.25
May27 0.21 0.23
May28 0.21 0.24
May29 0.2 0.22
May30 0.21 0.23
Jun1 0.22 0.23
Jun2 0.22 0.24
Jun3 0.2 0.24
Jun4 0.21 0.24
Jun5 0.2 0.24
Jun6 0.19 0.22
Jun7 0.17 0.22
Jun8 0.18 0.22
Jun9 0.23 0.22
Jun10 0.26 0.23
Jun11 0.2 0.21
Jun12 0.19 0.2
Jun13 0.17 0.21
Jun14 0.19 0.19
Jun15 0.17 0.19
Jun16 0.18 0.22
Jun17 0.16 0.24
Jun18 0.2 0.23
Jun19 0.22 0.23
Jun20 0.21 0.23
Jun21 0.16 0.23
Jun22 0.16 0.23
