date ExecutionNodesByCountry ExecutionNodesByClientBase ConsensusNodesByCountry ConsensusNodesByClient
May-23 0.85 0.73 0.86 0.64
May-24 0.85 0.73 0.86 0.64
May-25 0.85 0.73 0.86 0.64
May-26 0.85 0.76 0.86 0.63
May-27 0.85 0.76 0.86 0.64
May-28 0.86 0.77 0.85 0.63
May-29 0.86 0.77 0.86 0.63
May-30 0.85 0.76 0.86 0.64
Jun-1 0.85 0.73 0.85 0.63
Jun-2 0.85 0.77 0.85 0.63
Jun-3 0.86 0.76 0.85 0.64
Jun-4 0.86 0.76 0.86 0.63
Jun-5 0.86 0.76 0.86 0.63
Jun-6 0.85 0.76 0.85 0.63
Jun-7 0.86 0.79 0.85 0.63
Jun-8 0.85 0.79 0.85 0.63
Jun-9 0.85 0.81 0.86 0.63
Jun-10 0.85 0.8 0.86 0.62
Jun-11 0.86 0.8 0.86 0.62
Jun-12 0.86 0.8 0.86 0.62
Jun-13 0.86 0.8 0.86 0.62
Jun-14 0.86 0.8 0.86 0.62
Jun-15 0.85 0.8 0.86 0.62
Jun-16 0.86 0.76 0.86 0.62
Jun-17 0.86 0.76 0.86 0.61
Jun-18 0.86 0.76 0.86 0.62

